KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
txt_CqmGK,,,,,,,,,Вы должны пережить несколько волн.,,,,,,,,
txt_S0mWa,,,,,,,,,Атака базы Зираксом,,,,,,,,
txt_CXuW3,,,,,,,,,"У нас есть сообщения о том, что Зиракс готовят наступление на вашу базу. Снарядите себя и подготовь свою базу.",,,,,,,,
txt_8wES0,,,,,,,,,Подготовка (Волна I),,,,,,,,
txt_eK8G8,,,,,,,,,Оборудовать и подготовить базу,,,,,,,,
txt_u4uCq,,,,,,,,,Разместите оборону и готовьтесь к атаке.,,,,,,,,
txt_GGggw,,,,,,,,,"Хорошая работа, ребята! Это нужно было сделать.",,,,,,,,
txt_u0CO0,,,,,,,,,Поздравляю - вы успешно защитили базу от всех волн!,,,,,,,,
txt_i0GSN,,,,,,,,,Защита базы (Волна I),,,,,,,,
txt_i40mq,,,,,,,,,НЕ ОТОБРАЖАЕМОЕ СООБЩЕНИЕ!,,,,,,,,
txt_0Am0m,,,,,,,,,Ждите приближающейся атаки,,,,,,,,
txt_qeaue,,,,,,,,,Вражеские юниты и дроны Зиракс будут приближаться к вашей базе с неизвестной позиции.,,,,,,,,
txt_uASee,,,,,,,,,"У нас есть сообщения, что наступление началось. Не позволяйте Зиракс уничтожить наше ядро и заменить его своим.",,,,,,,,
txt_4eSe0,,,,,,,,,Защитите свою базу,,,,,,,,
txt_ie04K,,,,,,,,,Не позволяйте Зиракс уничтожить наше ядро и заменить его своим.,,,,,,,,
txt_GKOqK,,,,,,,,,Вы успешно защитили свою базу от Волны I. Контейнер с припасами был сброшен - осмотрите базу.,,,,,,,,
txt_OCiSa,,,,,,,,,Подготовка (Волна II),,,,,,,,
txt_aKeaU,,,,,,,,,Они перегруппировались и приходят на вторую попытку. Подготовьте оборону!,,,,,,,,
txt_YiuKm,,,,,,,,,Приготовьтесь ко второй волне,,,,,,,,
